item_id,item_name,price
017758,大醬鰹魚香菇昆布露(葷)500ml,379
011705,無油光淨痘修護膠,850
063667,持色眉筆,850
061021,絲柔粉霧眼影,850
099759,九色眼影盤,1700
090052,SK-II 亮采化粧水-230ml,2780
035692,小棕瓶鐵粉分享組,2780
044970,11kDa超導全能修護露-100ml,5000
053339,香奈兒藍色男性香精-100ml,5050
103319,無極限光澤水粉底 SPF18 PA+++-674,1750
060821,無極限超時輕粉底-674,1750
088865,無極限超時輕粉底-774,1750
058012,無極限光澤水粉底 SPF18 PA+++-664,1750
059071,無極限超時輕粉底-664,1750
020355,無極限超時輕粉底-584,1750
061960,花漾迪奧香氛粉漾,3550
061339,光泉黑芝麻鮮豆漿400ml,15
068109,喬亞滴濾無糖黑咖啡350ml,32
006150,西班牙茱兒蘋果汁200ML,42
000874,韓式小雞麵(雞汁味)增量包90g,51
080651,韓式小雞麵香辣味袋裝,51
047208,丸金讚岐竹簍烏龍麵露340ml,127
012341,小谷52袋麥茶416g,158
006668,格力高9袋入百利滋沙拉棒143g,155
041672,日東皇家奶茶包14gX10入,175
083933,資生堂輕柔感化粧棉 GMC,190
081750,輕柔感化粧棉,190
012773,PIX洗衣槽清潔劑280g,190
004266,義MNTV玄米油,178
012176,CJ韓式煎餅粉1kg,230
103135,亮白C雙面粉撲,230
020059,HIKARI圓熟味噌20gx20,245
012236,朝日函館鮭魚鬆110g,258
001376,Lightbulb鑽石光打亮海綿清潔劑,300
033848,削筆器,300
050538,塑膠袋,2
083067,大醬香菇昆布醬油露(素)500ml,380
049945,極限男性潔面露-250ML,700
070585,依格閣嚴選有機特級橄欖油500ml,920
087805,雙效眼部卸妝乳液,1200
076519,自動武士刀眉筆-暗棕,1200
049492,自動武士刀眉筆-橡棕,1200
002760,癮誘粉漾潤唇膏,1200
046279,快速眼唇卸妝液,1100
092671,立體斜角粉底刷,1200
011898,藜麥煥膚精華30ml,2400
079098,激光極淨白淡斑精華-30 ml,2400
024328,激透光水乳霜,2400
064424,資生堂活妍淨泉露,1800
021257,水磁場有酵經濟組,2400
042367,11kDa超導全能修護露-50ML,3000
105442,年輕雙天后經典組,6850
006380,迪奧癮誘粉漾潤唇膏-#001,1250
010018,迪奧癮誘粉漾潤唇膏-#004,1250
015327,清爽淨妝油,450
002755,香奈兒山茶花保濕潤澤唇霜  10g,1330
103845,金盞花精萃亮采水凝霜 50ml,1650
013445,超活酵抗痕組,3300
011400,超活酵青春精釀露-200ml,3300
084149,SK-II超肌因鑽光淨白精華-50ml,6600
105712,SK-II 肌活能量眼霜 15g,3006
098612,激抗痕亮采緊緻霜,3700
063862,愛爾曼原味優格400g,134
047434,紅帽子抹茶巧克力味法蘭酥93.6g,198
015160,紅帽子牛奶巧克力味法蘭酥93.6g,198
009593,不倒翁100%純芝麻油160ml,214
021573,MARUKOME綜合24入味噌湯432g,269
014686,四葉發酵奶油100g,269
104123,梅園無糖抹茶粉200g,301
023454,冰河保濕潔面乳150ml,730
062334,冰河保濕無油清爽潔面慕斯150ml,730
071682,超激光炫彩餅-DO,1450
024323,黑豆桑頂極無麥麩醬油6入組,2280
068258,SK-II 亮采化粧水-160ml,2280
080201,超未來肌因賦活露-30ml,3000
013230,青春無敵靈芝水組,2900
001861,日清菜籽油900ml,269
039272,眼唇淨妝露,950
017193,24小時眼影底霜,950
040091,雅詩蘭黛 棕於等到你升等組,3950
035172,小棕金牌回饋組,3950
065249,棕心好友分享組,3950
070939,棕於等到你升等組,3950
024213,特潤超導全方位修護露-50ml,3950
106577,雅詩蘭黛 棕心好友分享組,3950
030735,本淺草紫海苔19.6g,83
062808,韓國蜜糖米香餅110g,87
022907,海藻問屋海帶芽湯-菠菜蛋花,168
006870,日東草莓風味皇家奶茶140g,175
100492,宮武本場讚岐煮烏龍麵5入,175
046219,永井味付海苔片17.6g,175
091285,宮武本場讚岐細切烏龍麵5入,175
012534,鶴味噌無添加味噌300g,205
020319,日清麵王5食包麵-擔擔麵風味,235
103536,日清麵王5食包麵-醬油風味,235
006817,日清麵王5食包麵-味噌風味,235
027620,心機 星魅眉筆管,270
037850,P{G淨白抗菌洗衣果凍球17顆,270
012813,希望金黃蘋果汁1L,350
003800,Shiny青森完熟蘋果汁1000ml,350
049578,青協希望之露蘋果汁1L,350
102724,絲光晶亮露75ML,700
042247,迷戀輕吻唇膏,1060
070540,集高效清爽零油光UV水凝露-30ml,1400
070547,超顯白保濕化妝水,1400
072423,晶透潔顏泡沫,1400
076033,Lightbulb鑽石光粉餅-774,1400
074695,香奈兒3.5-DA彈力緊緻玉手霜50ml,2160
061777,金盞花吸油組,2800
087601,香奈兒1號紅色山茶花活能粉底液30ml-B10,2800
086516,超進化全能組,2800
082278,金盞花保濕組,2800
096722,睫毛夾,450
058953,零粉感超持久粉底,1700
068530,香奈兒深海精萃泡泡潔顏露-150ml,1850
067396,金盞花植物精華化妝水-500ML,2390
089836,超顯白防護飾底乳,1105
094459,21AN_預購限定無極限妝前組,1467
037337,玫瑰乳鐵粉囤貨組,5100
069406,赤阪天日鹽800g,167
068004,海藻問屋海帶芽湯-豆腐磨菇,167
068021,KIRIN午後奶茶1.5L,167
080245,曾拌麵全素胡?醬香4入,167
028543,粉持久持妝潤色妝前乳SPF45/PA++++,1650
084294,超高效持妝鐵粉必,1980
012125,冰河醣蛋白吸油水感凝凍 -125ML,2400
008970,冰河醣蛋白保溼霜-125ml,2400
089121,沁透茉莉淨妝油,1700
